Rank,State,County-equivalent,Per capita,Median,Median,Population,Number of
,,,income,household,family,,households
,,,,income,income,,
256,Washington,Snohomish,"$31,349 ","$68,381 ","$80,856 ","724,627","268,722"
257,Virginia,Mathews,"$31,342 ","$55,192 ","$71,441 ","8,943","3,856"
258,New Hampshire,Merrimack,"$31,310 ","$65,353 ","$80,655 ","146,710","56,812"
259,South Dakota,Miner,"$31,288 ","$48,477 ","$60,083 ","2,355","1,053"
260,Illinois,Kendall,"$31,276 ","$81,765 ","$91,368 ","116,366","38,075"
261,Alaska,Kenai Peninsula,"$31,256 ","$61,793 ","$75,689 ","56,163","21,720"
262,Virginia,Powhatan,"$31,252 ","$76,548 ","$87,045 ","28,108","9,544"
263,Illinois,Piatt,"$31,190 ","$63,027 ","$73,890 ","16,620","6,546"
264,North Dakota,Renville,"$31,178 ","$60,847 ","$77,143 ","2,512","1,041"
265,North Carolina,Chatham,"$31,175 ","$57,091 ","$66,875 ","64,886","26,017"
266,Iowa,Grundy,"$31,164 ","$56,827 ","$70,837 ","12,416","5,073"
267,Texas,Glasscock,"$31,135 ","$69,107 ","$98,409 ","1,176",409
,Colorado,,"$31,109 ","$58,433 ","$72,687 ","5,119,329","1,977,591"
268,Alaska,Haines,"$31,096 ","$52,866 ","$68,207 ","2,546","1,245"
269,Oregon,Washington County,"$31,078 ","$64,180 ","$76,711 ","539,608","201,771"
270,Colorado,Teller,"$31,075 ","$59,040 ","$73,379 ","23,276","9,434"
271,Texas,Williamson,"$31,070 ","$71,803 ","$82,568 ","441,445","154,948"
272,North Dakota,McLean,"$30,992 ","$53,565 ","$67,636 ","9,163","4,021"
273,Pennsylvania,Butler,"$30,957 ","$58,230 ","$74,043 ","184,535","73,213"
274,Georgia,Columbia,"$30,949 ","$69,306 ","$77,373 ","128,213","43,975"
275,Wyoming,Converse,"$30,941 ","$63,918 ","$75,231 ","13,937","5,746"
276,Washington,Island,"$30,941 ","$58,455 ","$69,775 ","78,806","33,096"
277,South Dakota,Stanley,"$30,933 ","$54,620 ","$61,083 ","2,966","1,273"
278,Vermont,Windsor,"$30,932 ","$52,460 ","$70,467 ","56,416","25,024"
279,Illinois,Woodford,"$30,926 ","$66,639 ","$78,590 ","38,903","14,362"
280,Texas,Galveston,"$30,926 ","$61,877 ","$76,204 ","296,669","110,032"
281,Iowa,Audubon,"$30,919 ","$48,313 ","$61,845 ","6,002","2,684"
,Minnesota,,"$30,913 ","$59,836 ","$74,683 ","5,347,740","2,107,232"
282,Virginia,Isle of Wight,"$30,903 ","$63,942 ","$77,524 ","35,373","13,560"
283,Virginia,Fluvanna,"$30,881 ","$68,288 ","$79,101 ","25,860","9,462"
,Washington,,"$30,742 ","$59,478 ","$72,168 ","6,819,579","2,629,126"
284,Colorado,Larimer,"$30,740 ","$58,626 ","$76,194 ","305,798","121,423"
285,New Hampshire,Grafton,"$30,738 ","$54,912 ","$71,158 ","89,166","35,111"
286,Virginia,Lancaster,"$30,737 ","$49,248 ","$66,189 ","11,303","5,182"
287,Ohio,Medina,"$30,707 ","$65,951 ","$77,729 ","173,252","65,499"
288,Texas,Parker,"$30,692 ","$64,515 ","$78,626 ","118,478","42,322"
289,California,San Diego,"$30,668 ","$62,962 ","$73,495 ","3,138,265","1,076,483"
290,Wisconsin,Door,"$30,657 ","$50,438 ","$63,361 ","27,826","13,459"
291,Minnesota,Anoka,"$30,647 ","$70,380 ","$81,798 ","334,027","122,625"
292,New Jersey,Camden,"$30,592 ","$61,683 ","$77,369 ","513,512","187,941"
293,North Dakota,Slope,"$30,586 ","$61,667 ","$74,167 ",738,296
294,New York,Orange,"$30,583 ","$70,458 ","$85,100 ","373,902","125,317"
295,Florida,Indian River,"$30,532 ","$44,772 ","$56,151 ","139,356","58,038"
296,Virginia,Middlesex,"$30,531 ","$53,309 ","$64,313 ","10,851","4,400"
297,North Carolina,Dare,"$30,529 ","$55,481 ","$64,404 ","34,289","14,624"
298,North Dakota,Cass,"$30,529 ","$52,590 ","$74,024 ","154,080","65,816"
